Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
"Mechrevo 15X 2025 | Ryzen 7-8745HS, 24GB, 1TB, 15.3 Inch 2.5K 120Hz",,AMD,ryzen 7,7,3.8,24,DDR5,5600,1000,15.3,2560 x 1600,120,AMD,1.68,80 Wh,18290000,https://laptopaz.vn/mechrevo-15x-2025-ryzen-7-8745hs-24gb-1tb-15.3-inch-2.5k-120hz.html,az,,
"[Like New] Lenovo Legion Y7000P 2025 | Core i7-14650HX, 16GB, 1TB, RTX 5060 8GB, 16'' 2K+ 240Hz",lenovo,Intel,i7-14650hx,14,5.2,16,DDR5,5600,1000,16,2560 x 1600,240,NVIDIA,2.3,80 Wh,36090000,https://laptopaz.vn/like-new-lenovo-legion-y7000p-2025-core-i7-14650hx-16gb-1tb-rtx-5060-8gb-16-2k-240hz.html,az,,
"[Like New] Lenovo Legion 5 Pro Y9000P | Core i9-12900H, 16GB, 512GB, RTX 3060 6GB, 16'' WQXGA 165Hz",lenovo,Intel,i9-12900h,12,,16,DDR5,,512,16,,165,NVIDIA,2.54,80 Wh,36090000,https://laptopaz.vn/like-new-lenovo-legion-5-pro-y9000p-core-i9-12900h-16gb-512gb-rtx-3060-6gb-16-wqxga-165hz.html,az,,
"Dell Inspiron 14 Plus 7440F R1605L | Intel Core 5 - 210H, 16GB, 512GB, Intel Iris Xe Graphics, 14'' FHD",dell,Intel,,,2.2,16,DDR5,,512,14,,60,Intel,1.6,54 Wh,65990000,https://laptopaz.vn/dell-inspiron-14-plus-7440f-r1605l-intel-core-5-210h-16gb-512gb-intel-iris-xe-graphics-14-fhd.html,az,,
"Dell DC15250 | Core i5-1334U, 8GB, 512GB, Intel UHD Graphics, 15.6 icnh FHD 120Hz, Carbon Black",dell,Intel,i5-1334u,13,4.60,8,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.65,41 Wh,65990000,https://laptopaz.vn/dell-dc15250-core-i5-1334u-8gb-512gb-intel-uhd-graphics-15.6-icnh-fhd-120hz-carbon-black.html,az,,
"[Like New] Dell Gaming G15 5520 2022 | Core i5-12500H, 16GB, 512GB, RTX 3050Ti 4GB, 15.6'' FHD 165Hz",dell,Intel,i5-12500h,12,,16,DDR5,4800,512,15.6,,165,NVIDIA,2.5,56 Wh,23590000,https://laptopaz.vn/like-new-dell-gaming-g15-5520-2022-core-i5-12500h-16gb-512gb-rtx-3050ti-4gb-15.6-fhd-165hz.html,az,,
"Laptop MSI Modern 15 H C2RMG-287VN | Core™ 7 240H, 16GB, 1TB, Intel Graphics, 15.6'' FHD 60Hz",msi,Intel,,,5.20,16,DDR4,3200,1000,15.6,1920 x 1080,60,Intel,1.9,39.3 Wh,19590000,https://laptopaz.vn/laptop-msi-modern-15-h-c2rmg-287vn-core-7-240h-16gb-1tb-intel-graphics-15.6-fhd-60hz.html,az,,
"Acer Shadow Knight SH16-71-5G61 | Core i5 14450HX, 16GB, 1TB, RTX 4070 8GB, 16 icnh 2K+ 165Hz",acer,Intel,i5-14450hx,14,4.8,6,DDR5,5600,1000,16,2560 x 1600,165,NVIDIA,2.6,55 Wh,52490000,https://laptopaz.vn/acer-shadow-knight-sh16-71-5g61-core-i5-14450hx-16gb-1tb-rtx-4070-8gb-16-icnh-2k-165hz.html,az,,
"[Like New] Dell Precision 7560 | Xeon 11855M, 32GB, 512GB, RTX A3000 6GB, 15.6'' FHD IPS",dell,Intel,,,3.20,32,DDR4,3200,512,15.6,1920 x 1080,60,NVIDIA,2.45,,49990000,https://laptopaz.vn/like-new-dell-precision-7560-xeon-11855m-32gb-512gb-rtx-a3000-6gb-15.6-fhd-ips.html,az,,
"Acer Shadow Knight SH16-74-7G42 | Core i7 13650HX, 16GB, 1TB, RTX 5060 8GB, 16 icnh 2K+ IPS 165Hz",acer,Intel,i7-13650hx,13,9,16,DDR5,4800,1000,16,2560 x 1600,165,NVIDIA,2.8,53 Wh,52490000,https://laptopaz.vn/acer-shadow-knight-sh16-74-7g42-core-i7-13650hx-16gb-1tb-rtx-5060-8gb-16-icnh-2k-ips-165hz.html,az,,
"Lenovo IdeaPad Slim 3 16IRH10 83K20002VN | Intel Core i5-13420H, 16GB, 512GB, Intel UHD, 16'' FHD+",lenovo,Intel,i5-13420h,13,4.6,8,DDR5,,512,16,1920 x 1200,60,Intel,1.73,60 Wh,28990000,https://laptopaz.vn/lenovo-ideapad-slim-3-16irh10-83k20002vn-intel-core-i5-13420h-16gb-512gb-intel-uhd-16-fhd.html,az,,
"Lenovo Lecoo Pro 14 N155A 2025 | Ryzen 7 H 255, 32GB, 1TB, 14 inch 2K+ 120Hz",lenovo,AMD,ryzen 7,7,4.9,32,DDR5,5600,1000,14,2880 x 1800,120,AMD,1.48,80 Wh,17490000,https://laptopaz.vn/lenovo-lecoo-pro-14-2025-ryzen-7-h-255-32gb-1tb-14-inch-2k-120hz.html,az,,
"Acer Shadow Knight SH16-72-7G42 | Core i7 14650HX, 16GB, 1TB, RTX 4060 8GB, 16 icnh 2K+ IPS 240Hz",acer,Intel,i7-14650hx,14,5.2,16,DDR5,5600,1000,16,2560 x 1600,240,NVIDIA,2.8,60 Wh,52490000,https://laptopaz.vn/acer-shadow-knight-sh16-72-7g42-core-i7-14650hx-16gb-1tb-rtx-4060-8gb-16-icnh-2k-ips-240hz.html,az,,
"Acer Shadow Knight SH16-72-7G41 | Core i7 14650HX, 16GB, 1TB, RTX 4060 8GB, 16 icnh 2K+ IPS 165Hz",acer,Intel,i7-14650hx,14,5.2,16,DDR5,5600,1000,16,2560 x 1600,165,NVIDIA,2.8,62 Wh,52490000,https://laptopaz.vn/acer-shadow-knight-sh16-72-7g41-core-i7-14650hx-16gb-1tb-rtx-4060-8gb-16-icnh-2k-ips-165hz.html,az,,
"Lenovo Thinkbook 16 G7+ 2025 01CD | Ryzen 7 H 255, 24GB, 512GB, 16 icnh 2K+ 120Hz",lenovo,AMD,ryzen 7,7,4.9,24,LPDDR5,,512,16,2560 x 1600,120,AMD,1.9,85 Wh,28990000,https://laptopaz.vn/lenovo-thinkbook-16-g7-2025-01cd-ryzen-7-h-255-24gb-512gb-16-icnh-2k-120hz.html,az,,
"Lenovo Thinkbook 14 G7+ 21U40001CD 2025 | Ryzen 7 H 255, 24GB, 512GB, 14.5 icnh 2K+ 90Hz",lenovo,AMD,ryzen 7,7,3.8,24,LPDDR5,,512,,2560 x 1600,90,AMD,1.5,85 Wh,28990000,https://laptopaz.vn/lenovo-thinkbook-14-g7-2025-01cd-ryzen-7-h-255-24gb-512gb-14.5-icnh-2k-90hz.html,az,,
"Mechrevo Aurora X 2025 | Core i7-14650HX, 16GB, 1TB, RTX 5060 8GB, 16'' 2K+ 165Hz",,Intel,i7-14650hx,14,5.2,16,DDR5,5600,1000,16,2560 x 1600,165,NVIDIA,2.2,60 Wh,28690000,https://laptopaz.vn/mechrevo-aurora-x-2025-extreme-core-i7-14650hx-16gb-1tb-rtx-5060-8gb-16-2k-165hz.html,az,,
"Laptop Gigabyte Gaming A16 CMHH2VN893SH | Intel Core i5-13420H, 16GB, 512GB,  RTX 4050 6GB, 16 inch WUXGA 165Hz , Win 11",gigabyte,Intel,i5-13420h,13,4.6,16,DDR5,5200,512,16.0,1920 x 1200,165,NVIDIA,2.2,76 Wh,39990000,https://laptopaz.vn/laptop-gigabyte-gaming-a16-cmhh2vn893sh-intel-core-i5-13420h-16gb-512gb-rtx-4050-6gb-16-inch-wuxga-165hz-win-11.html,az,,
"Dell Inspiron 14 7440-5647BLU-PUS 2-in-1 | Core 5-120U, 16GB, 512GB, 14 icnh FHD+ Touch",dell,Intel,,,5.0,16,DDR5,,512,,1920 x 1200,,Intel,1.71,64 Wh,18990000,https://laptopaz.vn/dell-inspiron-14-2-in-1-7440-5647blu-pus-core-5-120u-16gb-512gb-14-icnh-fhd-touch.html,az,,
"Laptop Lenovo Yoga 7 2in1 14IML9 83DJ00H9VN | Core Ultra 7 155H, 32GB, 1TB, 14''  2.8K OLED Touch",lenovo,Intel,core ultra 7,7,1.40,32,LPDDR5,7467,1000,14,2880 x 1800,120,Intel,1.49,71 Wh,32990000,https://laptopaz.vn/laptop-lenovo-yoga-7-2in1-14iml9-83dj00h9vn-core-ultra-7-155h-32gb-1tb-14-2.8k-oled-touch.html,az,,
"Dell Inspiron 14 5445 2024 | Ryzen 7 8840HS, 16GB, 512GB, AMD Radeon 780M Graphics, 14 icnh FHD+",dell,AMD,ryzen 7,7,,16,DDR5,,512,14.0,1920 x 1200,,AMD,1.54,41 Wh,18990000,https://laptopaz.vn/dell-inspiron-14-5445-2024-ryzen-7-8840hs-16gb-512gb-amd-radeon-780m-graphics-14-icnh-fhd.html,az,,
"MSI Katana 15 B13UDXK-2411VN | Core i7 13620H, 16GB, 512GB, RTX 3050 6GB, 15.6 icnh FHD 144Hz",msi,Intel,i7-13620h,13,2.40,16,DDR5,5200,512,15.6,1920 x 1080,144,NVIDIA,2.25,53.5 Wh,51990000,https://laptopaz.vn/msi-katana-15-b13udxk-2411vn-core-i7-13620h-16gb-512gb-rtx-3050-6gb-15.6-icnh-fhd-144hz.html,az,,
"Laptop Asus ROG Zephyrus G16 GU605CX-QR147W | Core Ultra 9 285H, 64GB, 2TB, RTX 5090 24GB, 16 icnh 2.5K OLED 240Hz, Xám",asus,Intel,core ultra 9,9,2.90,64,LPDDR5,7467,2000,16,2560 x 1600,240,NVIDIA,1.95,90 Wh,116990000,https://laptopaz.vn/laptop-asus-rog-zephyrus-g16-gu605cx-qr147w-core-ultra-9-285h-64gb-2tb-rtx-5090-24gb-16-icnh-2.5k-oled-240hz-xam.html,az,,
"Asus ROG Zephyrus GA403WR-QS156WS | Ryzen AI 9 HX 370, 32GB, 1TB, RTX 5070Ti, 14'' 3K OLED 120Hz",asus,AMD,ryzen ai 9,9,5.1,32,LPDDR5,8000,1000,14.0,2880 x 1800,120,NVIDIA,1.57,73 Wh,68390000,https://laptopaz.vn/asus-rog-zephyrus-ga403wr-qs156ws-ryzen-ai-9-hx-370-32gb-1tb-rtx-5070ti-14-3k-oled-120hz.html,az,,
"Asus ROG Zephyrus G16 GU605CM-QR078W | Core Ultra 9 285H, 32GB, 1TB, RTX 5060 8GB, 16 icnh 2K+ 240Hz, Xám",asus,Intel,core ultra 9,9,5.4,32,LPDDR5,7467,1000,16.0,2560 x 1600,240,NVIDIA,1.95,90 Wh,62990000,https://laptopaz.vn/asus-rog-zephyrus-g16-gu605cm-qr078w-core-ultra-9-285h-32gb-1tb-rtx-5060-8gb-16-icnh-2k-240hz-xam.html,az,,
"Dell 14 Plus 2 in 1 LDB04250-7137BLU | Core Ultra 7 256V, 16GB, 1TB, 14icnh FHD+",dell,Intel,core ultra 7,7,4.8,16,LPDDR5,8533,1000,14,1920 x 1200,,Intel,1.61,54 Wh,23890000,https://laptopaz.vn/dell-14-plus-2-in-1-ldb04250-7137blu-core-ultra-7-256v-16gb-1tb-14icnh-fhd.html,az,,
"Asus Gaming V16 V3607VH-RP025W | Core 7 240H, 16GB, 512GB, RTX 5050 8GB, 16.0'' FHD+144Hz",asus,Intel,,,5.20,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,63 Wh,62990000,https://laptopaz.vn/asus-gaming-v16-v3607vh-rp025w-core-7-240h-16gb-512gb-rtx-5050-8gb-16.0-fhd144hz.html,az,,
"Lenovo Legion R7000 2025 | Ryzen 7 H 255, 16GB, 512GB, RTX 5050 8GB, 15.3'' 2K+ 180Hz",lenovo,AMD,ryzen 7,7,3.8,16,DDR5,5600,512,15.3,2560 x 1600,180,NVIDIA,2.0,60 Wh,36090000,https://laptopaz.vn/lenovo-legion-r7000-2025-ryzen-7-h-255-16gb-512gb-rtx-5050-8gb-15.3-2k-180hz.html,az,,
"Asus Rog Strix G16 G615LR-S5238W | Core Ultra 7 255HX, 32GB, 1TB, RTX 5070Ti 12GB, 16'' 2K+ 240Hz",asus,Intel,core ultra 7,7,2.4,32,DDR5,,1000,16,2560 x 1600,240,NVIDIA,2.65,90 Wh,62990000,https://laptopaz.vn/asus-rog-strix-g16-g615lr-s5238w-core-ultra-7-255hx-32gb-1tb-rtx-5070ti-12gb-16-2k-240hz.html,az,,
"Asus ROG Flow Z13 GZ302EA-RU145WS | Ryzen AI MAX+ 395, 128GB, 1TB, AMD Radeon Graphics, 13.4'' 2K+ IPS 180Hz Touch",asus,AMD,,,5.1,128,LPDDR5,,1000,13.4,2560 x 1600,180,AMD,1.2,70 Wh,89990000,https://laptopaz.vn/asus-rog-flow-z13-gz302ea-ru145ws-ryzen-ai-max-395-128gb-1tb-amd-radeon-graphics-13.4-2k-ips-180hz-touch.html,az,,
"Asus ROG Flow Z13 GZ302EA-RU080WS | Ryzen AI MAX+ 395, 32GB, 1TB, AMD Radeon Graphics, 13.4'' 2K+ IPS 180Hz Touch",asus,AMD,,,5.1,32,LPDDR5,,1000,13.4,2560 x 1600,180,AMD,1.2,70 Wh,72990000,https://laptopaz.vn/asus-rog-flow-z13-gz302ea-ru080ws-ryzen-ai-max-395-32gb-1tb-amd-radeon-graphics-13.4-2k-ips-180hz-touch.html,az,,
"HP OmniBook 5 Flip 2-in-1 14-fp0013dx 2025 | Core 5 120U, 8GB, 512GB, 14'' FHD+ Touch",hp,Intel,,,5.0,8,LPDDR5,,512,14,1920 x 1200,,Intel,1.62,68 Wh,31790000,https://laptopaz.vn/hp-omnibook-5-flip-2-in-1-14-fp0013dx-2025-core-5-120u-8gb-512gb-14quot-fhd-touch.html,az,,
"Lenovo Legion 5 15IAX10 83F0003BVN | Core Ultra 7 255HX, 32GB, 1TB, 5070 8GB, 15.1'' 2K+ OLED 165Hz",lenovo,Intel,core ultra 7,7,5.2,32,DDR5,,1000,5.1,2560 x 1600,165,NVIDIA,1.9,80 Wh,94990000,https://laptopaz.vn/new-100-lenovo-legion-5-15iax10-83f0003bvn-core-ultra-7-255hx-32gb-1tb-5070-8gb-15.1-2k-oled-165hz.html,az,,
"Asus TUF Gaming F16 FX608JH-RV039W | Core i5-13450HX, 16GB, 1TB, RTX 5050 8GB, 16'' FHD+ 165Hz",asus,Intel,i5-13450hx,13,2.4,16,DDR5,,1000,16,1920 x 1200,165,NVIDIA,2.2,90 Wh,59990000,https://laptopaz.vn/new-100-asus-tuf-gaming-f16-fx608jh-rv039w-core-i5-13450hx-16gb-1tb-rtx-5050-8gb-16quot-fhd-165hz.html,az,,
"Laptop Gaming HP Victus 15-fb3093dx | Ryzen 7 7445HS, 16GB, 512GB, RTX 4050 6GB, 15.6'' FHD 144Hz",hp,AMD,ryzen 7,7,4.5,16,DDR5,4800,512,15.6,1920 x 1080,144,NVIDIA,2.29,52 Wh,43990000,https://laptopaz.vn/laptop-gaming-hp-victus-15-fb3093dx-ryzen-7-7445hs-16gb-512gb-rtx-4050-6gb-15.6-fhd-144hz.html,az,,
"Lenovo Yoga 7 2in1 14IML9 83DJ00H8VN | Core Ultra 5 125H, 16GB, 1TB, 14'' FHD+ OLED Touch",lenovo,Intel,core ultra 5,5,4.5,16,LPDDR5,,1000,14.0,1920 x 1200,60,Intel,1.49,71 Wh,28990000,https://laptopaz.vn/new-100-lenovo-yoga-7-2in1-14iml9-83dj00h8vn-core-ultra-5-125h-16gb-1tb-14-fhd-oled-touch.html,az,,
"Lenovo Yoga 7 2in1 14ILL10 83JQ0094VN | Core Ultra 7 258V, 32GB, 1TB, 14'' 2K+ OLED Touch",lenovo,Intel,core ultra 7,7,4.8,32,LPDDR5,,1000,14,2880 x 1800,120,Intel,1.38,65 Wh,40490000,https://laptopaz.vn/new-100-lenovo-yoga-7-2in1-14ill10-83jq0094vn-core-ultra-7-258v-32gb-1tb-14-2k-oled-touch.html,az,,
"Lenovo Yoga Slim 7 14IMH9 83CV00AJVN | Core Ultra 7 155H, 32GB, 1TB, 14'' FHD+ OLED",lenovo,Intel,core ultra 7,7,4.8,32,LPDDR5,,1000,14,1920 x 1200,60,Intel,1.39,65 Wh,28990000,https://laptopaz.vn/new-100-lenovo-yoga-slim-7-14imh9-83cv00ajvn-core-ultra-7-155h-32gb-1tb-14-fhd-oled.html,az,,
"Asus Vivobook 16 M1607KA-MB091WS | Ryzen AI 7 350, 16GB, 512GB, 16.0'' FHD+",asus,AMD,ryzen ai 7,7,,16,DDR5,,512,16,1920 x 1200,60,AMD,1.88,42 Wh,23990000,https://laptopaz.vn/new-100-asus-vivobook-16-m1607ka-mb091ws-ryzen-ai-7-350-16gb-512gb-16.0quot-fhd.html,az,,
"Asus Vivobook S14 S3407VA-LY046W | Core i5-13420H, 16GB, 512GB, Intel Graphics, 14.0'' FHD+",asus,Intel,i5-13420h,13,2.1,8,DDR5,,512,14.0,1920 x 1200,60,Intel,1.40,70 Wh,23990000,https://laptopaz.vn/new-100-asus-vivobook-s14-s3407va-ly046w-core-i5-13420h-16gb-512gb-intel-graphics-14.0quot-fhd.html,az,,
"Dell Inspiron 16 5630 | Core i5-1340P, 16GB, 512GB, Intel Iris Xe Graphic, 16'' 2K+",dell,Intel,i5-1340p,13,4.6,16,LPDDR5,4800,512,16,2560 x 1600,,Intel,1.85,54 Wh,18990000,https://laptopaz.vn/new-100-dell-inspiron-16-5630-core-i5-1340p-16gb-512gb-intel-iris-xe-graphic-16-2k.html,az,,
"Lenovo Xiaoxin Pro 16c AHP10R 2025 | Ryzen 7 H 255, 24GB, 1TB, 16.0'' 2.8K OLED 120Hz",lenovo,AMD,ryzen 7,7,3.8,24,DDR5,,1000,16.0,2880 x 1800,120,AMD,1.76,80 Wh,25590000,https://laptopaz.vn/new-100-lenovo-xiaoxin-pro-16c-ahp10r-2025-ryzen-7-h-255-24gb-1tb-16.0quot-2.8k-oled-120hz.html,az,,
"Lenovo Legion 5 15IRX10 83LY004JVN | Core i7-14700HX, 24GB, 1TB, RTX 5060 8GB, 15.1'' 2K+ OLED 165Hz",lenovo,Intel,i7-14700hx,14,5.5,24,DDR5,,1000,15.1,2560 x 1600,165,NVIDIA,1.9,80 Wh,94990000,https://laptopaz.vn/new-100-lenovo-legion-5-15irx10-83ly004jvn-core-i7-14700hx-24gb-1tb-rtx-5060-8gb-15.1-2k-oled-165hz.html,az,,
"Dell Inspiron 14 Plus 7430 | Core i7-13620H, 16GB, 1TB, RTX 4050 6GB, 14'' 2.5K",dell,Intel,i7-13620h,13,3.6,16,LPDDR5,4800,1000,14.0,2560 x 1600,90,NVIDIA,1.66,64 Wh,26890000,https://laptopaz.vn/new-100-dell-inspiron-14-plus-7430-core-i7-13620h-16gb-1tb-rtx-4050-6gb-14quot-2.5k.html,az,,
"Asus Zenbook S 16 UM5606KA-RK113WS | Ryzen AI 7 350, 24GB, 1TB, AMD Radeon, 16'' 3K OLED",asus,AMD,ryzen ai 7,7,2.0,24,LPDDR5,,1000,16,2880 x 1800,120,AMD,1.5,78 Wh,48990000,https://laptopaz.vn/new-100-asus-zenbook-s-16-um5606ka-rk113ws-ryzen-ai-7-350-24gb-1tb-amd-radeon-16quot-3k-oled.html,az,,
"Asus Zenbook S 14 OLED UX5406SA-PV140WS | Core Ultra 7 258V, 32GB, 1TB, Intel Arc Graphics, 14.0'' 3K OLED",asus,Intel,core ultra 7,7,1.8,32,LPDDR5,,1000,14,2880 x 1800,120,Intel,1.20,72 Wh,48990000,https://laptopaz.vn/new-100-asus-zenbook-s-14-oled-ux5406sa-pv140ws-core-ultra-7-258v-32gb-1tb-intel-arc-graphics-14.0quot-3k-oled.html,az,,
"Asus Gaming V16 K3607VJ-RP092W | Core 5 210H, 16GB, 512GB, RTX 3050 6GB, 16.0'' FHD+ 144Hz",asus,Intel,,,2.2,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,63 Wh,20690000,https://laptopaz.vn/new-100-asus-vivobook-16-k3607vj-rp092w-core-5-210h-16gb-512gb-rtx-3050-6gb-16.0quot-fhd-144hz.html,az,,
"Acer Aspire Go 15 AG15-71P-58X1 NX.J4GSV.001 | Core i5-13420H, 16GB, 512GB, Intel UHD, 15.6'' FHD",acer,Intel,i5-13420h,13,4.60,16,DDR5,,2000,15.6,1920 x 1080,60,Intel,1.79,58 Wh,17290000,https://laptopaz.vn/new-100-acer-aspire-go-15-ag15-71p-58x1-nx.j4gsv.001-core-i5-13420h-16gb-512gb-intel-uhd-15.6quot-fhd.html,az,,
"Acer Aspire 7 A715-76G-5806 - NH.QMFSV.002 | Core i5-12450H, 16GB, 512GB, RTX 3050 6GB, 15.6'' FHD, Vỏ Nhôm",acer,Intel,i5-12450h,12,4.4,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.1,50 Wh,18690000,https://laptopaz.vn/new-100-acer-aspire-7-a715-76g-5806-nh.qmfsv.002-core-i5-12450h-16gb-512gb-rtx-3050-6gb-15.6-fhd-vo-nhom.html,az,,
"Acer Aspire 7 A715-59G-57TU NH.QX6SV.001 | Core i5-12450H, 16GB, 512GB, RTX 3050 6GB, 15.6'' FHD",acer,Intel,i5-12450h,12,4.4,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,1.99,54.8 Wh,22490000,https://laptopaz.vn/new-100-acer-aspire-7-a715-59g-57tu-nh.qx6sv.001-core-i5-12450h-16gb-512gb-rtx-3050-6gb-15.6-fhd.html,az,,
"Asus Zenbook 14 UX3405CA-PZ187WS | Core Ultra 5 225H, 16GB, 512GB, 14'' 3K OLED, Touch",asus,Intel,core ultra 5,5,1.7,16,LPDDR5,7467,512,14.0,2880 x 1800,120,Intel,1.2,75 Wh,48990000,https://laptopaz.vn/new-100-asus-zenbook-14-ux3405ca-pz187ws-core-ultra-5-225h-16gb-512gb-14quot-3k-oled.html,az,,
"Asus Zenbook 14 UX3405CA-PZ368WS | Core Ultra 7 255H, 16GB, 512GB, 14'' 3K OLED",asus,Intel,core ultra 7,7,2.0,16,LPDDR5,,512,14.0,2880 x 1800,120,Intel,1.2,75 Wh,48990000,https://laptopaz.vn/new-100-asus-zenbook-14-ux3405-core-ultra-7-255h-16gb-512gb-14quot-3k-oled.html,az,,
"Asus Vivobook S 16 S5606CA-RI114WS | Core Ultra 5 225H, 16GB, 512GB, Intel Arc Graphics, 16.0'' 3K+ OLED",asus,Intel,core ultra 5,5,4.90,16,LPDDR5,7467,512,16.0,3200 x 2000,120,Intel,1.50,75 Wh,27690000,https://laptopaz.vn/new-100-asus-vivobook-s-16-s5606ca-ri114ws-core-ultra-5-225h-16gb-512gb-intel-arc-graphics-16.0quot-3k-oled.html,az,,
"Asus Vivobook S 14 OLED S5406SA-PP059WS | Core Ultra 7 258V, 32GB, 1TB, Intel Arc Graphics, 14.0'' 3K OLED",asus,Intel,core ultra 7,7,2.2,32,LPDDR5,,1000,14,2880 x 1800,120,Intel,1.30,75 Wh,31990000,https://laptopaz.vn/new-100-asus-vivobook-s-14-oled-s5406sa-pp059ws-core-ultra-7-258v-32gb-1tb-intel-arc-graphics-14.0quot-3k-oled.html,az,,
"Lenovo Legion Y7000P 2025 | Core i9-14900HX, 16GB, 1TB, RTX 5070 8GB, 16'' 2K+ 240Hz",lenovo,Intel,i9-14900hx,14,5.8,16,DDR5,5600,1000,16,2560 x 1600,240,NVIDIA,2.3,80 Wh,40890000,https://laptopaz.vn/new-100-lenovo-legion-y7000p-2025-core-i9-14900hx-16gb-1tb-rtx-5070-8gb-16-2k-240hz.html,az,,
"Lenovo Legion R9000P 2025 | Ryzen 9 8945HX, 32GB, 1TB, RTX 5070 8GB, 16'' 2K+ 240Hz",lenovo,AMD,ryzen 9,9,2.5,32,DDR5,5200,1000,16,2560 x 1600,240,NVIDIA,2.55,80 Wh,44790000,https://laptopaz.vn/new-100-lenovo-legion-r9000p-2025-ryzen-9-8945hx-32gb-1tb-rtx-5070-8gb-16quot-2k-240hz.html,az,,
"Lenovo Legion R7000 2025 | Ryzen 7 H 255, 16GB, 512GB, RTX 5060 8GB, 15.3'' 2K+ 180Hz",lenovo,AMD,ryzen 7,7,3.8,16,DDR5,5600,512,15.3,2560 x 1600,180,NVIDIA,2.0,60 Wh,36090000,https://laptopaz.vn/new-100-lenovo-legion-r7000-2025-ryzen-7-h-255-16gb-512gb-rtx-5060-8gb-15.3-2k-180hz.html,az,,
Lenovo Legion Y9000P 2025 giá tốt nhất thị trường - LaptopAZ.vn,lenovo,Intel,core ultra 9,9,2.1,32,DDR5,6400,1000,,2560 x 1600,240,NVIDIA,2.57,80 Wh,94990000,https://laptopaz.vn/new-100-lenovo-legion-y9000p-2025-iax10h-ultra-9-275-hx-32gb-1tb-rtx-5070ti-12gb-16quot-2k-oled-240hz-eclipse-black.html,az,,
Lenovo Thinkbook X AI 2025 rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,9,5.4,32,LPDDR5,8400,1000,13.5,2880 x 1920,120,Intel,1.23,74 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-x-ai-2025-ultra-9-285h-32gb-1tb-intel-arc-graphics-13.5quot-2k-120hz-stainless-magnesium-limited-edition.html,az,,
Lenovo ThinkBook 16 G7+ 2025 01CD rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,7,5.1,32,DDR5,5600,1000,16,,,Intel,1.9,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-16-g7-2025-01cd-uitra-7-255h-32gb-1tb-16.0quot-3k.html,az,,
Lenovo ThinkBook 16 G7+ 2025 00CD rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,5,4.9,32,DDR5,5600,1000,16,,,Intel,1.9,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-16-g7-2025-00cd-uitra-5-225h-32gb-1tb-16.0quot-3k.html,az,,
Lenovo ThinkBook 16 G7+ 2025 00CD rẻ nhất thị trường - LaptopAZ.vn,lenovo,AMD,ryzen ai 9,9,5.0,32,LPDDR5,,1000,16,,165,AMD,1.9,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-16-g7-2025-00cd-ryzen-ai-9-365-32gb-1tb-16.0quot-3k-165hz.html,az,,
Lenovo Thinkbook 14 G7+ 2025 rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,9,5.4,32,LPDDR5,8533,1000,14.5,3072 x 1920,120,Intel,1.5,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g7-2025-01cd-uitra-9-285h-32gb-1tb-14.5quot-3k-120hz.html,az,,
Lenovo Thinkbook 14 G7+ 2025 rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,7,5.1,32,LPDDR5,8533,1000,14.5,3072 x 1920,120,Intel,1.5,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g7-2025-02cd-uitra7-255h-32gb-1tb-14.5quot-3k-120hz.html,az,,
Lenovo Thinkbook 14 G7+ 2025 00CD rẻ nhất thị trường - LaptopAZ.vn,lenovo,AMD,ryzen ai 9,9,5.0,32,LPDDR5,7500,1000,14.5,3072 x 1920,120,AMD,1.5,85 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g7-2025-00cd-ryzen-ai-9-365-32gb-1tb-14.5quot-3k-120hz.html,az,,
Lenovo Thinkbook X AI 2025 rẻ nhất thị trường - LaptopAZ.vn,lenovo,Intel,,9,5.4,32,LPDDR5,8400,1000,13.5,2880 x 1920,120,Intel,1.23,74 Wh,37990000,https://laptopaz.vn/new-100-lenovo-thinkbook-x-ai-03cd-2025-ultra-9-285h-32gb-1tb-intel-arc-graphics-13.5quot-2k-120hz.html,az,,
